Crop_Type,Temperature,Rainfall,Humidity,Soil_Moisture,Soil_pH,Nitrogen,Phosphorus,Potassium,Season,Historical_Irrigation_Water,Crop_Yield
Wheat,25.5,85.3,62.1,48.2,6.8,55.3,42.1,48.7,Rabi,180.5,3.82
Rice,32.1,220.5,78.5,68.4,6.2,62.8,38.5,42.3,Kharif,350.2,4.65
Maize,28.7,105.2,58.3,42.1,6.5,48.2,45.8,52.1,Kharif,210.8,5.38
Cotton,30.2,95.8,55.7,38.5,7.1,52.4,41.2,46.8,Kharif,195.3,2.95
Sugarcane,33.5,180.4,72.8,65.2,6.4,68.5,52.3,58.4,Kharif,420.5,75.42
Wheat,22.8,75.2,65.4,52.8,6.9,58.7,44.5,50.2,Rabi,175.8,3.95
Rice,31.5,245.8,82.1,72.5,5.9,65.2,36.8,40.5,Kharif,385.6,4.85
Maize,27.2,98.5,60.2,45.8,6.7,50.5,48.2,54.8,Zaid,205.2,5.52
Cotton,29.8,88.4,52.5,35.2,7.3,49.8,39.5,44.2,Kharif,188.5,2.78
Sugarcane,34.2,195.5,75.5,68.8,6.3,72.5,55.8,62.5,Kharif,445.2,78.65
Wheat,24.1,92.5,68.2,55.5,6.6,62.5,46.8,52.8,Rabi,192.5,4.12
Rice,30.8,235.2,80.5,70.2,6.1,68.5,40.2,44.8,Kharif,368.5,4.78
Maize,26.5,102.8,62.5,48.5,6.8,52.8,50.5,56.2,Kharif,215.8,5.68
Cotton,31.5,78.5,48.2,32.8,7.2,46.5,37.8,42.5,Rabi,172.5,2.65
Sugarcane,35.8,208.5,78.2,72.5,6.2,75.8,58.5,65.8,Kharif,465.8,82.35
Wheat,23.5,88.8,64.8,50.2,6.7,60.2,45.5,51.5,Rabi,185.2,4.05
Rice,32.8,225.5,79.8,69.5,6.0,66.8,38.5,42.5,Kharif,375.8,4.72
Maize,28.2,108.5,59.5,44.2,6.6,51.5,49.2,55.5,Kharif,218.5,5.45
Cotton,30.5,92.8,54.8,36.5,7.0,50.5,40.2,45.8,Kharif,192.8,2.88
Sugarcane,33.8,188.5,74.2,66.8,6.5,70.5,54.2,60.5,Kharif,438.5,76.85
